Service;Nom_Clé_Partagée;Nom_commercial ;Nom technique;URL d'accès
WFS;administratif;ADMIN EXPRESS COG 2021 - arrondissement;ADMINEXPRESS-COG.LATEST:arrondissement;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2021 - arrondissement_municipal;ADMINEXPRESS-COG.LATEST:arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2021 - canton;ADMINEXPRESS-COG.LATEST:canton;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2021 - chflieu_arrondissement_municipal;ADMINEXPRESS-COG.LATEST:chflieu_arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2021 - chflieu_commune;ADMINEXPRESS-COG.LATEST:chflieu_commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2021 - chflieu_commune_associee_ou_deleguee;ADMINEXPRESS-COG.LATEST:chflieu_commune_associee_ou_deleguee;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2021 - collectivite_territoriale;ADMINEXPRESS-COG.LATEST:collectivite_territoriale;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2021 - commune;ADMINEXPRESS-COG.LATEST:commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2021 - commune_associee_ou_deleguee;ADMINEXPRESS-COG.LATEST:commune_associee_ou_deleguee;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2021 - departement;ADMINEXPRESS-COG.LATEST:departement;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2021 - epci;ADMINEXPRESS-COG.LATEST:epci;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2021 - region;ADMINEXPRESS-COG.LATEST:region;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2021 - arrondissement;ADMINEXPRESS-COG-CARTO.LATEST:arrondissement;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2021 - arrondissement_municipal;ADMINEXPRESS-COG-CARTO.LATEST:arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2021 - canton;ADMINEXPRESS-COG-CARTO.LATEST:canton;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2021 - chflieu_arrondissement_municipal;ADMINEXPRESS-COG-CARTO.LATEST:chflieu_arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2021 - chflieu_commune;ADMINEXPRESS-COG-CARTO.LATEST:chflieu_commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2021 - chflieu_commune_associee_ou_deleguee;ADMINEXPRESS-COG-CARTO.LATEST:chflieu_commune_associee_ou_deleguee;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2021 - collectivite_territoriale;ADMINEXPRESS-COG-CARTO.LATEST:collectivite_territoriale;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2021 - commune;ADMINEXPRESS-COG-CARTO.LATEST:commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2021 - commune_associee_ou_deleguee;ADMINEXPRESS-COG-CARTO.LATEST:commune_associee_ou_deleguee;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2021 - departement;ADMINEXPRESS-COG-CARTO.LATEST:departement;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2021 - epci;ADMINEXPRESS-COG-CARTO.LATEST:epci;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2021 - region;ADMINEXPRESS-COG-CARTO.LATEST:region;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - arrondissement;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:arrondissement;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - arrondissement departemental;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:arrondissement_departemental;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - arrondissement_municipal;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - canton;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:canton;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - chef lieu;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:chef_lieu;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - chef lieu_arrondissement_municipal;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:chflieu_arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - chef lieu_commune;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:chflieu_commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - chef lieu_commune_associee_ou_deleguee;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:chflieu_commune_associee_ou_deleguee;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - collectivite_territoriale;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:collectivite_territoriale;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - commune;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - commune_associee_ou_deleguee;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:commune_associee_ou_deleguee;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - departement;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:departement;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - epci;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:epci;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS mises à jour en continu - region;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:region;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;Base Adresse Nationale BAN (DATA.GOUV.FR);BAN.DATA.GOUV:ban;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;Base Adresse Nationale (BAN);BAN.ADRESSE:ban;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;LIEN ADRESSE_BATI;ADRESSE-PREMIUM.LIEN.BATI:lien_adresse_bati;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;LIEN ADRESSE_HEXA;ADRESSE-PREMIUM.LIEN.HEXA:lien_adresse_hexa;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;LIEN ADRESSE_PARCELLE;ADRESSE-PREMIUM.LIEN.PARCELLE:lien_adresse_parcelle;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
